symbol_a,symbol_b,mcap_tercile,industry_same,prompt_variant,llm_tag,llm_conf,normalized_bucket,rationale_A,rationale_B,claim_type,basis_hint,counter_signal,verdict,grounded_ratio,grounded_en,grounded_syn,ungrounded_terms,dict_gap_terms,correlation,market_mismatch,overconfident
HLT,MAR,상,동일,A,글로벌 호텔 체인,1.0,여행·숙박·크루즈,"{""claim"": ""HLT와 MAR은 전 세계적으로 호텔 및 리조트를 운영, 프랜차이즈, 라이선스하는 대표적인 글로벌 호텔 체인으로 직접적인 경쟁 관계에 있다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업의 주요 사업 모델 및 제공하는 서비스 영역이 거의 동일함."", ""counter_signal"": """"}",,known_fact,두 기업의 주요 사업 모델 및 제공하는 서비스 영역이 거의 동일함.,,BETTER,0.0,0/0,0/2,운영 | 경쟁,세계적 | 호텔 | 리조트 | 프랜차이즈 | 라이선스하 | 대표적인 | 글로벌 | 체인,0.8889,False,True
DPZ,YUM,하,동일,B,글로벌 피자 체인,0.98,소매·소비재,,"{""claim"": ""두 회사는 세계적인 피자 프랜차이즈 브랜드를 통해 직접적으로 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""DPZ는 도미노피자를, YUM은 피자헛 브랜드를 소유하고 있습니다."", ""counter_signal"": ""YUM은 KFC, 타코벨 등 피자 외 다른 패스트푸드 브랜드를 다수 보유하여 사업 포트폴리오가 DPZ보다 훨씬 넓습니다.""}",known_fact,"DPZ는 도미노피자를, YUM은 피자헛 브랜드를 소유하고 있습니다.","YUM은 KFC, 타코벨 등 피자 외 다른 패스트푸드 브랜드를 다수 보유하여 사업 포트폴리오가 DPZ보다 훨씬 넓습니다.",BETTER,0.0,0/0,0/1,경쟁,세계적인 | 피자 | 프랜차이즈 | 브랜드,0.5114,False,True
CRM,MTCH,하,동일,B,구독형 클라우드 소프트웨어 서비스,0.8,클라우드·엔터프라이즈SW,,"{""claim"": ""두 기업 모두 클라우드 기반의 구독형 소프트웨어 서비스를 핵심 사업 모델로 운영합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Salesforce는 SaaS(Software as a Service)의 선두 주자이며, Match Group은 자사 앱들의 유료 구독 및 인앱 구매를 통해 수익을 창출합니다."", ""counter_signal"": ""두 회사의 최종 사용자 시장과 제공하는 핵심 기능(B2B 고객 관계 관리 vs B2C 온라인 데이팅)은 완전히 다릅니다.""}",known_fact,"Salesforce는 SaaS(Software as a Service)의 선두 주자이며, Match Group은 자사 앱들의 유료 구독 및 인앱 구매를 통해 수익을 창출합니다.",두 회사의 최종 사용자 시장과 제공하는 핵심 기능(B2B 고객 관계 관리 vs B2C 온라인 데이팅)은 완전히 다릅니다.,WRONG,0.0,0/0,0/3,소프트웨어 | 클라우드 | 운영,구독형 | 모델,0.3119,False,True
RMD,SOLV,하,상이,A,비연관 산업,0.1,헬스케어·의료기기·제약,"{""claim"": ""RMD는 수면 및 호흡기 질환 의료기기 및 디지털 헬스 솔루션 기업인 반면, SOLV는 태양광 및 에너지 저장 인프라 EPC(설계·조달·시공) 서비스 기업으로 사업 도메인에서 직접적인 경쟁이나 연결점이 없습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""ResMed (RMD) 및 SolvEnergy (SOLV) 공식 기업 설명 및 사업 보고서"", ""counter_signal"": """"}",,known_fact,ResMed (RMD) 및 SolvEnergy (SOLV) 공식 기업 설명 및 사업 보고서,,BETTER,0.222,0/1,2/8,epc | 디지털 | 에너지 | 태양광 | 인프라 | 설계 | 경쟁,수면 | 호흡기 | 질환 | 헬스 | 기업인 | 반면 | 저장 | 조달 | 시공 | 연결점 | 없습니다,0.548,False,True
AAPL,AMD,상,상이,A,컴퓨팅 칩 설계 및 공급,0.95,반도체·메모리,"{""claim"": ""Apple은 자사 제품용 M 시리즈 칩을 개발하여 AMD와 같은 외부 CPU/GPU 공급업체에 대한 의존도를 줄였으며, 이는 기능적 경쟁 관계를 형성합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Apple M 시리즈 칩 발표 및 Mac 라인업 전환, AMD의 Mac Pro GPU 공급 이력."", ""counter_signal"": ""AMD는 여전히 특정 Apple 제품(예: Mac Pro)에 GPU를 공급할 수 있으나, Apple의 핵심 제품 자체 칩 전환은 큰 변화입니다.""}",,known_fact,"Apple M 시리즈 칩 발표 및 Mac 라인업 전환, AMD의 Mac Pro GPU 공급 이력.","AMD는 여전히 특정 Apple 제품(예: Mac Pro)에 GPU를 공급할 수 있으나, Apple의 핵심 제품 자체 칩 전환은 큰 변화입니다.",BETTER,0.333,1/3,1/3,cpu | gpu | 공급 | 경쟁,자사 | 제품용 | 시리즈 | 칩을 | 외부 | 대한 | 의존도 | 줄였으며 | 이는 | 기능적 | 형성합니다,0.2154,True,True
AMCR,CZR,하,상이,A,상이한 사업 영역,0.95,부동산·REIT,"{""claim"": ""AMCR은 포장재 제조사이며, CZR은 카지노 및 호텔 운영사로, 두 기업의 핵심 사업 영역은 완전히 다르다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업보고서(10-K) 및 공식 웹사이트에 명시된 주요 사업 활동"", ""counter_signal"": """"}",,known_fact,각 기업의 사업보고서(10-K) 및 공식 웹사이트에 명시된 주요 사업 활동,,BETTER,0.333,0/0,1/3,제조 | 운영,포장재 | 호텔 | 완전히 | 다르다,0.1502,True,True
NXPI,Q,중,동일,A,차량용 및 IoT 반도체,0.9,반도체·메모리,"{""claim"": ""NXP와 Qualcomm은 차량용 인포테인먼트, ADAS, 디지털 콕핏 및 사물인터넷(IoT) 기기를 위한 반도체 및 플랫폼 솔루션 시장에서 직접 경쟁한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 회사 웹사이트의 제품 포트폴리오 및 사업 부문 설명, 산업 분석 보고서"", ""counter_signal"": ""NXP는 전통적으로 임베디드 및 산업용 비중이 크고, Qualcomm은 모바일 AP 및 모뎀 분야에서 독보적 지위를 가지고 있어 전체 사업 포트폴리오 비중에서는 차이가 있다.""}",,known_fact,"각 회사 웹사이트의 제품 포트폴리오 및 사업 부문 설명, 산업 분석 보고서","NXP는 전통적으로 임베디드 및 산업용 비중이 크고, Qualcomm은 모바일 AP 및 모뎀 분야에서 독보적 지위를 가지고 있어 전체 사업 포트폴리오 비중에서는 차이가 있다.",BETTER,0.333,1/4,2/5,qualcomm | adas | iot | 플랫폼 | 디지털 | 경쟁,차량용 | 인포테인먼트 | 콕핏 | 기기,0.4629,False,True
NVDA,Q,중,동일,B,반도체,1.0,반도체·메모리,,"{""claim"": ""두 종목 모두 'SEMICONDUCTORS' 산업으로 명시되어 있어, 같은 반도체 산업 도메인에서 경쟁하거나 연결될 것으로 판단된다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""NVDA와 Q 종목 정보에 명시된 산업 분류가 'SEMICONDUCTORS'이다."", ""counter_signal"": """"}",known_fact,NVDA와 Q 종목 정보에 명시된 산업 분류가 'SEMICONDUCTORS'이다.,,BETTER,0.333,0/1,1/2,semiconductors | 경쟁,종목 | 명시 | 있어 | 연결될 | 것으 | 판단된다,0.4926,False,True
F,TPR,중,상이,A,상이한 사업 도메인,0.9,자동차·부품·산업재,"{""claim"": ""F는 자동차 제조사이고 TPR은 명품 패션 기업으로, 사업 도메인과 제품군이 매우 상이하여 직접적인 경쟁 또는 사업적 연결성이 없습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 보고서 및 제품 라인업"", ""counter_signal"": """"}",,known_fact,각 기업의 사업 보고서 및 제품 라인업,,BETTER,0.333,0/0,1/3,제조 | 경쟁,명품 | 패션 | 제품군 | 상이하여 | 또는 | 사업적 | 연결성 | 없습니다,0.3643,False,True
HPQ,INTC,중,상이,B,PC 부품 공급망,0.95,반도체·메모리,,"{""claim"": ""HPQ는 PC 및 하드웨어 제조업체로서 INTC의 프로세서와 같은 핵심 반도체 부품을 주요 공급받아 제품을 생산한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""양사의 사업 영역 및 제품 구성, 산업 내 공급망 역할"", ""counter_signal"": ""HPQ는 INTC 외 다른 반도체 제조사의 부품도 사용하며, INTC 또한 HPQ 외 다양한 고객사에 부품을 공급한다.""}",known_fact,"양사의 사업 영역 및 제품 구성, 산업 내 공급망 역할","HPQ는 INTC 외 다른 반도체 제조사의 부품도 사용하며, INTC 또한 HPQ 외 다양한 고객사에 부품을 공급한다.",BETTER,0.333,0/1,2/5,pc | 반도체 | 부품 | 공급,하드웨어 | 프로세서,,False,True
