symbol_a,symbol_b,mcap_tercile,industry_same,prompt_variant
NTAP,WDC,상,동일,A
MCO,NDAQ,상,동일,A
GE,LMT,상,동일,A
AXP,COF,상,동일,A
CRWD,XYZ,상,동일,A
CDNS,NOW,상,동일,A
KKR,STT,상,동일,A
AMGN,BMY,상,동일,A
EMR,ETN,상,동일,A
PH,ROP,상,동일,A
ELV,UNH,상,동일,A
GLW,KEYS,상,동일,A
BKNG,RCL,상,동일,A
PSX,VLO,상,동일,A
AMD,MPWR,상,동일,A
CSX,WAB,상,동일,A
HON,MMM,상,동일,A
AEP,XEL,상,동일,A
AMD,TER,상,동일,A
HLT,MAR,상,동일,A
ADI,QCOM,상,동일,B
CDNS,UBER,상,동일,B
AMT,IRM,상,동일,B
PGR,TRV,상,동일,B
ACGL,AIG,상,동일,B
KLAC,NXPI,상,동일,B
ABBV,JNJ,상,동일,B
GD,GE,상,동일,B
PYPL,V,상,동일,B
PCG,XEL,상,동일,B
D,PEG,상,동일,B
EXC,PCG,상,동일,B
CI,HUM,상,동일,B
APP,INTU,상,동일,B
ARES,BLK,상,동일,B
ED,WEC,상,동일,B
ABT,BSX,상,동일,B
INTC,KLAC,상,동일,B
AEP,ED,상,동일,B
DUK,XEL,상,동일,B
AAPL,AMD,상,상이,A
VLO,WMB,상,상이,A
KEYS,TTWO,상,상이,A
CCL,MCD,상,상이,A
ACN,EA,상,상이,A
CSCO,META,상,상이,A
JPM,MSCI,상,상이,A
ECL,FCX,상,상이,A
UPS,VRT,상,상이,A
CEG,ED,상,상이,A
AFL,AJG,상,상이,A
SYY,TGT,상,상이,A
FDX,WAB,상,상이,A
AFL,BAC,상,상이,A
CEG,NEE,상,상이,A
JCI,UNP,상,상이,A
FANG,TRGP,상,상이,A
APO,PYPL,상,상이,A
ROST,SBUX,상,상이,A
NSC,ODFL,상,상이,A
CAH,JNJ,상,상이,B
PSX,XOM,상,상이,B
DE,HWM,상,상이,B
OXY,PSX,상,상이,B
AMAT,ANET,상,상이,B
CARR,HON,상,상이,B
ADBE,INTU,상,상이,B
C,CME,상,상이,B
META,ORCL,상,상이,B
BSX,PFE,상,상이,B
ISRG,MCK,상,상이,B
GLW,NVDA,상,상이,B
EBAY,GM,상,상이,B
NOC,ODFL,상,상이,B
GOOG,MSI,상,상이,B
DASH,YUM,상,상이,B
BLK,MET,상,상이,B
AAPL,MCHP,상,상이,B
GLW,GOOGL,상,상이,B
SO,SRE,상,상이,B
NXPI,Q,중,동일,A
AEE,DTE,중,동일,A
CCI,IRM,중,동일,A
AVB,ESS,중,동일,A
CTSH,FI,중,동일,A
DVN,EXE,중,동일,A
CMS,XEL,중,동일,A
COP,TPL,중,동일,A
CASY,ULTA,중,동일,A
EL,KVUE,중,동일,A
CFG,TFC,중,동일,A
BALL,PKG,중,동일,A
FTV,GRMN,중,동일,A
SYK,ZBH,중,동일,A
JBL,TDY,중,동일,A
EXC,LNT,중,동일,A
BDX,RMD,중,동일,A
RF,TFC,중,동일,A
DVN,FANG,중,동일,A
AEP,CMS,중,동일,A
IP,PKG,중,동일,B
D,EVRG,중,동일,B
EIX,XEL,중,동일,B
L,PGR,중,동일,B
CHD,PG,중,동일,B
BSX,ZBH,중,동일,B
CMS,EIX,중,동일,B
L,WRB,중,동일,B
AEE,PCG,중,동일,B
ISRG,WST,중,동일,B
DD,ECL,중,동일,B
DVN,EQT,중,동일,B
DGX,IQV,중,동일,B
NWS,WBD,중,동일,B
CB,L,중,동일,B
DELL,HPQ,중,동일,B
AEE,AEP,중,동일,B
NVDA,Q,중,동일,B
DTE,ED,중,동일,B
RMD,WST,중,동일,B
LYB,NEM,중,상이,A
ESS,EXR,중,상이,A
NKE,WSM,중,상이,A
AWK,ED,중,상이,A
KMB,TSN,중,상이,A
CPRT,DHI,중,상이,A
ADSK,BR,중,상이,A
DHR,MRNA,중,상이,A
CEG,PPL,중,상이,A
F,TPR,중,상이,A
OTIS,WM,중,상이,A
JBHT,SNA,중,상이,A
HLT,ROL,중,상이,A
ORLY,PKG,중,상이,A
MDT,VTRS,중,상이,A
AMCR,AZO,중,상이,A
CL,DLTR,중,상이,A
FOX,T,중,상이,A
BR,FTNT,중,상이,A
INVH,O,중,상이,A
EXR,IRM,중,상이,B
BR,CTSH,중,상이,B
DOV,MMM,중,상이,B
OMC,T,중,상이,B
BG,HSY,중,상이,B
EFX,IEX,중,상이,B
EQT,PSX,중,상이,B
DVN,MPC,중,상이,B
AVB,VTR,중,상이,B
K,MNST,중,상이,B
GEV,PPL,중,상이,B
STZ,TSN,중,상이,B
BIIB,GEHC,중,상이,B
ABBV,MRNA,중,상이,B
LH,STE,중,상이,B
HPQ,INTC,중,상이,B
DTE,SRE,중,상이,B
LEN,LOW,중,상이,B
HUBB,OTIS,중,상이,B
EA,FTV,중,상이,B
GNRC,ROP,하,동일,A
DOC,VTR,하,동일,A
FI,JKHY,하,동일,A
DTE,PNW,하,동일,A
NWS,TKO,하,동일,A
MAS,TT,하,동일,A
CAG,CPB,하,동일,A
BLDR,TT,하,동일,A
LKQ,ORLY,하,동일,A
GNRC,NDSN,하,동일,A
FE,PNW,하,동일,A
DVA,HCA,하,동일,A
ECL,EMN,하,동일,A
NOW,TYL,하,동일,A
APP,DAY,하,동일,A
GDDY,PLTR,하,동일,A
AFL,GL,하,동일,A
ACN,LDOS,하,동일,A
AKAM,PLTR,하,동일,A
FICO,MTCH,하,동일,A
FISV,JKHY,하,동일,B
DPZ,YUM,하,동일,B
EVRG,PNW,하,동일,B
HPE,ZBRA,하,동일,B
ALGN,DXCM,하,동일,B
EPAM,IBM,하,동일,B
CRM,MTCH,하,동일,B
BLK,IVZ,하,동일,B
INCY,TECH,하,동일,B
CBRE,CSGP,하,동일,B
ALB,LIN,하,동일,B
GNRC,XYL,하,동일,B
ADSK,DAY,하,동일,B
INTU,TYL,하,동일,B
HII,TDG,하,동일,B
AOS,GNRC,하,동일,B
CARR,MAS,하,동일,B
HOLX,ISRG,하,동일,B
ERIE,MMC,하,동일,B
CRWD,GEN,하,동일,B
AMCR,CZR,하,상이,A
LKQ,ROST,하,상이,A
AVY,AXON,하,상이,A
RMD,SOLV,하,상이,A
JKHY,MSFT,하,상이,A
ALLE,POOL,하,상이,A
GOOG,ZBRA,하,상이,A
HSIC,VRTX,하,상이,A
AMCR,MHK,하,상이,A
BMY,UHS,하,상이,A
AOS,JBHT,하,상이,A
ALLE,LHX,하,상이,A
CAH,MOH,하,상이,A
LEN,LKQ,하,상이,A
BAX,TECH,하,상이,A
BLDR,DAL,하,상이,A
LII,VRSK,하,상이,A
JPM,MKTX,하,상이,A
MCO,MKTX,하,상이,A
AVY,GWW,하,상이,A
CBRE,UDR,하,상이,B
KKR,MKTX,하,상이,B
JCI,POOL,하,상이,B
EXPD,PNR,하,상이,B
IQV,UHS,하,상이,B
ALB,CF,하,상이,B
ARE,FRT,하,상이,B
NDSN,PCAR,하,상이,B
HST,MAA,하,상이,B
AES,ETR,하,상이,B
GPN,SWK,하,상이,B
KMX,LOW,하,상이,B
DOV,POOL,하,상이,B
CZR,RCL,하,상이,B
HSIC,MDT,하,상이,B
MAA,SPG,하,상이,B
NRG,TLN,하,상이,B
A,WBA,하,상이,B
APA,BKR,하,상이,B
MKTX,NDAQ,하,상이,B
