pair,mcap_tercile,industry_same,llm_tag,grounded_ratio,veto,adopted,is_estimate
ADI↔QCOM,상,동일,신호 처리 및 연결 반도체,0.889,False,True,False
CDNS↔UBER,상,동일,이질적인 소프트웨어 서비스,0.75,False,True,False
AMT↔IRM,상,동일,데이터 인프라,0.75,False,True,False
PGR↔TRV,상,동일,손해보험,0.75,False,True,False
ACGL↔AIG,상,동일,다각화 보험 서비스,0.667,False,True,False
KLAC↔NXPI,상,동일,반도체 제조 솔루션 및 부품,1.0,False,True,False
ABBV↔JNJ,상,동일,전문의약품 시장 경쟁,0.6,False,True,False
GD↔GE,상,동일,항공우주 제조,0.833,False,True,False
PYPL↔V,상,동일,디지털 결제 서비스,0.778,False,True,False
PCG↔XEL,상,동일,규제 전력 유틸리티,1.0,False,True,False
D↔PEG,상,동일,규제 전력 사업,1.0,False,True,False
EXC↔PCG,상,동일,규제 전력 유틸리티,0.75,False,True,False
CI↔HUM,상,동일,건강 보험 서비스,0.75,False,True,False
APP↔INTU,상,동일,애플리케이션 소프트웨어 산업,1.0,False,True,False
ARES↔BLK,상,동일,자산 운용,1.0,False,True,False
ED↔WEC,상,동일,규제 전력 유틸리티,0.833,False,True,False
ABT↔BSX,상,동일,심혈관 및 신경 조절 의료기기,0.571,False,True,False
INTC↔KLAC,상,동일,반도체 생산 공정,0.857,False,True,False
AEP↔ED,상,동일,전력 유틸리티,0.625,False,True,False
DUK↔XEL,상,동일,전력 유틸리티,0.857,False,True,False
CAH↔JNJ,상,상이,제약 및 의료 제품 공급망,0.889,False,True,False
PSX↔XOM,상,상이,석유 정제 및 유통,1.0,False,True,False
DE↔HWM,상,상이,산업용 기계 및 부품 제조,1.0,False,True,False
OXY↔PSX,상,상이,석유 가치 사슬,0.8,False,True,False
AMAT↔ANET,상,상이,데이터센터 및 클라우드 인프라,0.6,False,True,False
CARR↔HON,상,상이,빌딩 기술 솔루션,0.8,False,True,False
ADBE↔INTU,상,상이,기업 생산성 소프트웨어,1.0,False,True,False
C↔CME,상,상이,금융 파생상품 거래,0.8,False,True,False
META↔ORCL,상,상이,AI 인프라,0.667,False,True,False
BSX↔PFE,상,상이,질병 치료 및 예방,1.0,False,True,False
ISRG↔MCK,상,상이,의료 공급망,0.667,False,True,False
GLW↔NVDA,상,상이,디지털 시각화 및 데이터 인프라,0.9,False,True,False
EBAY↔GM,상,상이,자동차 온라인 유통,0.667,False,True,False
NOC↔ODFL,상,상이,기업 물류 운송 서비스,0.8,False,True,False
GOOG↔MSI,상,상이,공공·기업 기술 솔루션,0.833,False,True,False
DASH↔YUM,상,상이,음식 배달,0.833,False,True,False
BLK↔MET,상,상이,자산 관리,1.0,False,True,False
AAPL↔MCHP,상,상이,반도체 부품 공급망,0.778,False,True,False
GLW↔GOOGL,상,상이,모바일/디스플레이 부품,0.545,False,True,False
SO↔SRE,상,상이,유틸리티 서비스,0.857,False,True,False
