symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,review_section
ABBV↔COO,COMPETES_WITH,"SEC 10-K: With Paragard, we compete with manufacturers of hormonal IUDs including Bayer and AbbVie, Long Actin",호르몬 IUD,True,,pending,pending,False,True,0.9,True,A_pattern_batch
CAT↔WAB,COMPETES_WITH,"SEC 10-K: Our primary competition for locomotives is Progress Rail, owned by a subsidiary of Caterpillar.",기관차,True,,pending,pending,False,True,1.0,True,A_pattern_batch
DAY↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,SUPPLIES_TO,pending,pending,False,True,0.1,True,A_pattern_batch
DOV↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True,A_pattern_batch
GOOGL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,A_pattern_batch
T↔TMUS,COMPETES_WITH,"SEC 10-K: In the market for broadband services, traditional cable providers, AT&T, Verizon, and other players ",광대역 서비스,True,,pending,pending,False,True,0.9,True,A_pattern_batch
APP↔META,DEPENDS_ON,SEC 10-K: The mobile app ecosystem depends in part on a relatively small number of third-party distribution pl,모바일 앱 생태계,True,,pending,pending,False,True,0.2,True,A_pattern_batch
HWM↔AEE,DEPENDS_ON,SEC 10-K: Arconic Architectural Products SAS (“AAP SAS”) (now a subsidiary of Arconic Corporation) supplied Re,건축 제품,False,SUPPLIES_TO,pending,pending,True,True,0.0,True,A_pattern_batch
SYF↔FISV,DEPENDS_ON,"SEC 10-K: For example, our principal technology and related services (including credit card transaction proces",신용카드 거래 처리,False,SUPPLIES_TO,pending,pending,False,True,0.1,True,A_pattern_batch
WDC↔SNDK,DEPENDS_ON,"SEC 10-K: On February 21, 2025 (the “Separation Date”), we completed the separation of our HDD and Flash busin",하드 디스크 드라이브,False,SUPPLIES_TO,pending,pending,False,True,0.7,True,A_pattern_batch
ABBV↔ABT,PARTNER_WITH,"SEC 10-K: On January 1, 2013, AbbVie became an independent, publicly-traded company as a result of the distrib",,False,COMPETES_WITH,pending,pending,False,True,0.7,True,A_pattern_batch
ALGN↔AVGO,SUPPLIES_TO,"SEC 10-K: We use third-party CMs for a significant majority of our assembly and test operations, including TSM",,False,DEPENDS_ON,pending,pending,False,True,0.0,True,A_pattern_batch
COR↔ABBV,SUPPLIES_TO,"SEC 10-K: In 2025, three wholesale distributors (McKesson Corporation, Cardinal Health, Inc. and Cencora, Inc.",,False,DEPENDS_ON,pending,pending,False,True,0.0,True,A_pattern_batch
DD↔Q,SUPPLIES_TO,"SEC 10-K: On May 22, 2024, DuPont de Nemours, Inc. (""DuPont"" or ""Parent"") announced its plan to separate Qnity",,False,DEPENDS_ON,pending,pending,True,True,0.9,True,A_pattern_batch
GM↔APTV,SUPPLIES_TO,"SEC 10-K: For example, in 2025, General Motors (“GM”) restructured their operations in China given challenges ",,False,DEPENDS_ON,pending,pending,False,True,0.0,True,A_pattern_batch
HCA↔RVTY,SUPPLIES_TO,SEC 10-K: and held a number of global management operational positions with GE Healthcare.,,False,SUPPLIES_TO,pending,pending,False,True,0.0,True,A_pattern_batch
MCK↔ABBV,SUPPLIES_TO,"SEC 10-K: In 2025, three wholesale distributors (McKesson Corporation, Cardinal Health, Inc. and Cencora, Inc.",의약품 도매 유통,True,,pending,pending,False,True,0.6,True,A_pattern_batch
ON↔LRCX,SUPPLIES_TO,"SEC 10-K: Our customer base includes leading semiconductor memory, foundry, and integrated device manufacturer",반도체 메모리,False,,pending,pending,False,True,0.1,True,A_pattern_batch
TSM↔NVDA,SUPPLIES_TO,"SEC 10-K: We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsu",반도체 파운드리,True,,pending,pending,False,True,1.0,True,A_pattern_batch
V↔SYF,SUPPLIES_TO,SEC 10-K: We also face risks related to cyber-attacks and other security breaches in connection with credit ca,신용카드 결제,False,DEPENDS_ON,pending,pending,False,True,0.3,True,A_pattern_batch
AAPL↔HPQ,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",개인용 컴퓨터,True,,pending,pending,False,True,1.0,True,B_individual
AAPL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
ABNB↔EXPE,COMPETES_WITH,"SEC 10-K: Businesses such as Airbnb, Vrbo and Booking.com have emerged as the leaders, bringing incremental al",온라인 여행 예약,True,,pending,pending,False,True,0.9,True,B_individual
ABT↔DXCM,COMPETES_WITH,"SEC 10-K: In selling our current CGM systems, we compete directly with the Diabetes Care division of Abbott La",연속혈당측정기 시스템,True,,pending,pending,False,True,1.0,True,B_individual
ALGN↔IDXX,COMPETES_WITH,SEC 10-K: The Invisalign System competes primarily against traditional wires and brackets and increasingly wit,,False,,pending,pending,False,True,0.0,True,B_individual
AMAT↔KLAC,COMPETES_WITH,"SEC 10-K: In each of our product markets, we have many competitors, including companies such as Applied Materi",,True,,pending,pending,False,True,1.0,True,B_individual
AMT↔SBAC,COMPETES_WITH,"SEC 10-K: In the U.S., our primary competitors for our site leasing activities are (1) large independent tower",통신 타워 임대,True,,pending,pending,False,True,1.0,True,B_individual
AMZN↔COST,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",일반 상품 소매,True,,pending,pending,False,True,1.0,True,B_individual
AMZN↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,B_individual
AMZN↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.8,True,B_individual
ANET↔AVGO,COMPETES_WITH,"SEC 10-K: For example, Broadcom has acquired VMware, Hewlett Packard Enterprise has acquired Juniper Networks ",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,B_individual
