symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,gate_class_v2,review_status_v2,self_contradiction,is_enumeration,symbol_boundary_ok,normalized_tag
AAPL↔HPQ,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",개인용 컴퓨터,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,개인용 컴퓨터
AAPL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,
ABBV↔COO,COMPETES_WITH,"SEC 10-K: With Paragard, we compete with manufacturers of hormonal IUDs including Bayer and AbbVie, Long Actin",호르몬 IUD,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,헬스케어·의료기기·제약
ABNB↔EXPE,COMPETES_WITH,"SEC 10-K: Businesses such as Airbnb, Vrbo and Booking.com have emerged as the leaders, bringing incremental al",온라인 여행 예약,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,여행·숙박·크루즈
ABT↔DXCM,COMPETES_WITH,"SEC 10-K: In selling our current CGM systems, we compete directly with the Diabetes Care division of Abbott La",연속혈당측정기 시스템,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,헬스케어·의료기기·제약
ALGN↔IDXX,COMPETES_WITH,SEC 10-K: The Invisalign System competes primarily against traditional wires and brackets and increasingly wit,,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,
AMAT↔KLAC,COMPETES_WITH,"SEC 10-K: In each of our product markets, we have many competitors, including companies such as Applied Materi",,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,
AMT↔SBAC,COMPETES_WITH,"SEC 10-K: In the U.S., our primary competitors for our site leasing activities are (1) large independent tower",통신 타워 임대,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,통신·네트워크
AMZN↔COST,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",일반 상품 소매,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,소매·소비재
AMZN↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
AMZN↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,수요측 플랫폼
ANET↔AVGO,COMPETES_WITH,"SEC 10-K: For example, Broadcom has acquired VMware, Hewlett Packard Enterprise has acquired Juniper Networks ",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,True,False,
