symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,gate_class_v2,review_status_v2,self_contradiction,is_enumeration,symbol_boundary_ok,normalized_tag,summary_ko,summary_flags,full_evidence,source_line,roles_ko,decision_hint
AAPL↔HPQ,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",개인용 컴퓨터,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,개인용 컴퓨터,"이 문장은 해당 기업의 주요 경쟁사로 Acer Inc., Apple Inc. 등을 포함한 여러 글로벌 기업을 나열하고 있으며, 특정 지역에서는 현지 기업 및 “화이트 박스” 제조업체와도 경쟁한다고 명시합니다.",list|target_absent|truncated,"Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technologies Co., Ltd., Lenovo Group Limited, Logitech International S.A., Microsoft Corporation, Samsung Electronics Co., Ltd., and Toshiba Corporation. In certain geographies, we also experience competition from local companies and from generically-branded or “white box” manufacturers.",HPQ 10-K FY2025 · Item 1 사업,AAPL은 해당 기업의 주요 경쟁사 중 하나로 등장합니다. HPQ는 이 문장을 서술하는 주체('Our')로서 자신의 주요 경쟁사를 설명하고 있습니다.,근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AAPL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,,"Apple과 Google 같은 대형 기술 기업 및 대형 소매업체들이 해당 기업의 경쟁사와 협력하여 금융 상품을 제공하는 경우가 있습니다. 또한, 현재 및 잠재적 경쟁사들은 규제 환경 변화로 인해 이점을 얻을 수 있습니다.",target_absent|truncated,"In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers offer financial products sometimes in collaboration with our competitors. Further, current and potential competitors may benefit from changes in the political and regulatory environment that reduce oversight and compliance obligations, as well as make it easier to obtain authorization to provide banking services and undertake significant transactions such as mergers and acquisitions.",SYF 10-K FY2025 · Item 7 MD&A,"AAPL은 금융 상품을 제공하는 대형 기술 기업의 예시로 등장합니다. SYF는 이 문장을 서술하는 주체('our competitors')로서, 경쟁사와 협력하는 기업들을 언급하고 있습니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
ABBV↔COO,COMPETES_WITH,"SEC 10-K: With Paragard, we compete with manufacturers of hormonal IUDs including Bayer and AbbVie, Long Actin",호르몬 IUD,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,헬스케어·의료기기·제약,Paragard 제품과 관련하여 해당 기업은 Bayer 및 AbbVie를 포함한 호르몬 IUD 제조업체 등 다양한 피임약 제조업체와 경쟁합니다. FDA 승인을 받았으나 아직 출시되지 않은 비호르몬 IUD Miudella도 향후 Paragard와 경쟁할 예정입니다.,list|target_absent|truncated,"With Paragard, we compete with manufacturers of hormonal IUDs including Bayer and AbbVie, Long Acting Reversible Contraceptives including Organon, and other forms of birth control. A non-hormonal IUD, Miudella, which has been FDA approved and not currently in the market, will compete with Paragard in the future.",COO 10-K FY2025 · Item 1 사업,ABBV는 호르몬 IUD 제조업체로서 Paragard의 경쟁사 중 하나로 언급됩니다. COO는 이 문장을 서술하는 주체('we')로서 Paragard 제품의 경쟁 환경을 설명하고 있습니다.,근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
ABNB↔EXPE,COMPETES_WITH,"SEC 10-K: Businesses such as Airbnb, Vrbo and Booking.com have emerged as the leaders, bringing incremental al",온라인 여행 예약,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,여행·숙박·크루즈,"Airbnb, Vrbo, Booking.com과 같은 기업들이 시장의 선두 주자로 부상하여 대체 숙박 시설 재고를 증가시켰습니다. 또한, 자체 예약 사이트를 운영하며 Airbnb, Vrbo, Booking.com에도 등록하는 대체 숙박 시설 관리업체와 같은 다른 경쟁사들도 나타났습니다.",target_absent|truncated,"Businesses such as Airbnb, Vrbo and Booking.com have emerged as the leaders, bringing incremental alternative accommodation inventory to the market. Other competitors have arisen, including alternative accommodation property managers, who operate their own booking sites in addition to listing on Airbnb, Vrbo, and Booking.com.",EXPE 10-K FY2025 · Item 7 MD&A,"ABNB는 대체 숙박 시장의 선두 주자 중 하나로 언급되며, 다른 경쟁사들이 자사 사이트에 리스팅하는 대상이기도 합니다. EXPE 미등장.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
ABT↔DXCM,COMPETES_WITH,"SEC 10-K: In selling our current CGM systems, we compete directly with the Diabetes Care division of Abbott La",연속혈당측정기 시스템,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,헬스케어·의료기기·제약,"해당 기업은 현재 연속 혈당 모니터링(CGM) 시스템 판매에서 Abbott Laboratories의 당뇨병 관리 사업부 등 여러 기업과 직접 경쟁합니다. 이들 경쟁사는 단일 지점 혈당 측정기 시장 제품을 제조 및 판매하며, 해당 기업과 함께 자가 혈당 측정 시스템 전 세계 판매의 대부분을 차지합니다.",m&a|target_absent|truncated,"In selling our current CGM systems, we compete directly with the Diabetes Care division of Abbott Laboratories; Medtronic plc’s Diabetes Group (which implemented a spinoff of its diabetes business into a separate company called MiniMed); Roche Diabetes Care, a division of Roche Diagnostics; privately-held LifeScan, Inc.; Ascensia Diabetes Care; and other smaller market entrants, each of which manufactures and markets products for the single-point finger stick device market. Collectively with us, these companies currently account for the majority of the worldwide sales of self-monitored glucose testing systems.
Several companies are developing or commercializing products for continuous or periodic monitoring of glucose levels in the interstitial fluid under the skin that compete directly with our products.",DXCM 10-K FY2025 · Item 1 사업,"ABT는 해당 기업의 CGM 시스템 판매 경쟁사 중 하나인 Abbott Laboratories의 당뇨병 관리 사업부로 언급됩니다. DXCM은 이 문장을 서술하는 주체('we', 'us', 'our products')로서 자신들의 경쟁사를 설명하고 있습니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
ALGN↔IDXX,COMPETES_WITH,SEC 10-K: The Invisalign System competes primarily against traditional wires and brackets and increasingly wit,,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,,"Invisalign 시스템은 주로 기존의 와이어 및 브라켓과 경쟁하며, 신규 진입자 및 기존 경쟁업체가 제조 및 유통하는 투명 교정 장치와도 점차 경쟁하고 있습니다. 이들 경쟁사에는 기존 의료 기기 회사, 실험실, 스타트업 등이 포함됩니다.",target_absent|truncated,"The Invisalign System competes primarily against traditional wires and brackets and increasingly with clear aligners manufactured and distributed by new market entrants and existing competitors, including traditional medical device companies, laboratories, startups and, in some cases, doctors and DSOs. Our competitors also include DTC companies that provide clear aligners using a business model requiring little to no in-office care from trained and licensed doctors, and doctors and DSOs who manufacture custom aligners or procure products from third-party white-label providers.",ALGN 10-K FY2025 · Item 7 MD&A,"ALGN은 Invisalign 시스템('The Invisalign System')의 제조업체로 암시되며, 해당 시스템의 경쟁 환경을 설명하고 있습니다. IDXX 미등장.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AMAT↔KLAC,COMPETES_WITH,"SEC 10-K: In each of our product markets, we have many competitors, including companies such as Applied Materi",,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,,"해당 기업은 각 제품 시장에서 Applied Materials, Inc. 등을 포함한 많은 경쟁사를 보유하고 있으며, 이들 중 일부는 해당 기업보다 더 많은 자원을 보유할 수 있습니다. 해당 기업은 경쟁사들이 제품을 지속적으로 개선하고 신제품을 출시할 것으로 예상합니다.",target_absent|truncated,"In each of our product markets, we have many competitors, including companies such as Applied Materials, Inc., ASML Holding N.V., Hitachi High-Technologies Corporation, Onto Innovation, Inc. and Lasertec, Inc., some of which may have greater financial, research, engineering, manufacturing and marketing resources than we have. We expect our competitors to continue to improve the design and performance of their current products and to introduce new products with improved pricing and performance characteristics.",KLAC 10-K FY2025 · Item 7 MD&A,"AMAT은 해당 기업의 많은 경쟁사 중 하나로 언급됩니다. KLAC은 이 문장을 서술하는 주체('we', 'our')로서 자신들의 경쟁사를 설명하고 있습니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AMT↔SBAC,COMPETES_WITH,"SEC 10-K: In the U.S., our primary competitors for our site leasing activities are (1) large independent tower",통신 타워 임대,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,통신·네트워크,미국에서 해당 기업의 사이트 임대 활동에 대한 주요 경쟁사는 American Tower Corporation 및 Crown Castle International과 같은 대규모 독립 타워 회사들입니다. 국제적으로는 자체 타워 네트워크를 소유 및 운영하는 무선 서비스 제공업체 등이 경쟁사입니다.,target_absent|truncated,"Our sales staff’s compensation is heavily weighted to incentive-based goals and measurements.
Competition
Domestic Site Leasing
 – In the U.S., our primary competitors for our site leasing activities are (1) large independent tower companies including American Tower Corporation and Crown Castle International; (2) a number of regional independent tower owners; (3) wireless service providers that own and operate their own towers and lease, or may in the future decide to lease, antenna space to other providers; (4) owners and operators of alternative facilities such as rooftops, outdoor and indoor distributed antenna system (“DAS”) networks, billboards, utility poles, and electric transmission towers; and (5) owners and operators of alternative wireless technology systems and architectures.
International Site Leasing 
– Internationally, our competition consists of wireless service providers that own and operate their own tower networks, large multinational, national, and regional independent tower companies, and alternative facilities such as rooftop, outdoor and indoor networks, billboards, utility poles, and electric transmission towers. 
We believe that tower location and capacity, quality of service, density within a geographic market, and price historically have been, and will continue to be, the most significant competitive factors affecting the domestic and international site leasing business.
Site Development
 – The site development business is competitive and price sensitive.",SBAC 10-K FY2025 · Item 1 사업,"AMT는 국내 사이트 임대 활동의 주요 경쟁사 중 하나로 언급됩니다. SBAC은 이 문장을 서술하는 주체('Our', 'we')로서 자신들의 경쟁사를 설명하고 있습니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AMZN↔COST,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",일반 상품 소매,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,소매·소비재,"미국에서 Walmart, Target, Kroger, Amazon은 해당 기업의 중요한 일반 상품 소매 경쟁사 중 일부입니다. 또한 해당 기업은 Walmart의 Sam's Club 및 BJ's Wholesale Club을 포함한 다른 회원제 창고형 매장과도 경쟁합니다.",list|target_absent|truncated,"Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors in the U.S. We also compete with other warehouse clubs, including Walmart’s Sam’s Club and BJ’s Wholesale Club in the U.S.",COST 10-K FY2025 · Item 1 사업,"AMZN은 해당 기업의 주요 일반 상품 소매 경쟁사 중 하나로 등장합니다. COST는 이 문장을 서술하는 주체('our', 'We')로서 자신들의 경쟁사를 설명하고 있습니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AMZN↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW,"해당 기업의 엔터프라이즈 클라우드, 라이선스 및 하드웨어 제품은 Adobe Systems Incorporated, Alphabet Inc., Amazon.com, Inc. 등 세계에서 가장 크고 경쟁력 있는 일부 기업들의 특정 제품과 직접 경쟁합니다.",target_absent|truncated,"Our enterprise cloud, license and hardware offerings compete directly with certain offerings from some of the largest and most competitive companies in the world, including Adobe Systems Incorporated, Alphabet Inc., Amazon.com, Inc., Cisco Systems, Inc., Intel Corporation, International Business Machines Corporation, Microsoft Corporation, Salesforce, Inc. and SAP SE, as well as other companies like Hewlett-Packard Enterprise and Workday, Inc.",ORCL 10-K FY2025 · Item 7 MD&A,"AMZN은 해당 기업의 엔터프라이즈 클라우드, 라이선스 및 하드웨어 제품의 직접 경쟁사 중 하나로 언급됩니다. ORCL은 이 문장을 서술하는 주체('Our')로서 자신들의 제품 경쟁사를 설명하고 있습니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
