symbol_a,symbol_b,mcap_tercile,industry_same,prompt_variant,llm_tag,llm_conf,normalized_bucket,rationale_A,rationale_B,claim_type,basis_hint,counter_signal,verdict
NTAP,WDC,상,동일,A,엔터프라이즈 데이터 스토리지,0.9,반도체·메모리,"{""claim"": ""NTAP은 기업용 데이터 관리 및 스토리지 시스템 솔루션을 제공하며, WDC는 하드디스크 드라이브(HDD) 및 솔리드 스테이트 드라이브(SSD)와 같은 기업용 저장장치를 제조한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 공식 사업 설명 및 제품 포트폴리오"", ""counter_signal"": ""NTAP은 주로 소프트웨어 기반 솔루션과 시스템을, WDC는 물리적 저장장치 하드웨어에 집중하여 직접적인 제품 경쟁보다는 보완적인 관계에 가깝다.""}",,known_fact,각 사의 공식 사업 설명 및 제품 포트폴리오,"NTAP은 주로 소프트웨어 기반 솔루션과 시스템을, WDC는 물리적 저장장치 하드웨어에 집중하여 직접적인 제품 경쟁보다는 보완적인 관계에 가깝다.",
MCO,NDAQ,상,동일,A,금융 정보 및 분석,0.9,금융·결제·거래소,"{""claim"": ""무디스(MCO)는 신용평가 및 리스크 관리 분석을, 나스닥(NDAQ)은 시장 데이터 및 인덱스 분석을 통해 금융 시장에 핵심 정보와 분석 서비스를 제공한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""MCO 및 NDAQ의 사업 보고서 및 주력 서비스"", ""counter_signal"": ""두 회사는 직접적인 경쟁 관계보다는 서로 다른 종류의 금융 정보를 제공하는 보완적 관계에 가깝다.""}",,known_fact,MCO 및 NDAQ의 사업 보고서 및 주력 서비스,두 회사는 직접적인 경쟁 관계보다는 서로 다른 종류의 금융 정보를 제공하는 보완적 관계에 가깝다.,
GE,LMT,상,동일,A,항공우주방위산업,0.9,자동차·부품·산업재,"{""claim"": ""GE는 항공기 엔진을 포함한 항공우주 부품을 생산하며, Lockheed Martin은 전투기 및 미사일 등 방위 시스템을 개발하는 주요 항공우주방위산업 기업이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""GE Aerospace 사업 부문, Lockheed Martin의 주요 방산 계약 및 제품군."", ""counter_signal"": ""GE의 전력 및 헬스케어 사업 부문은 Lockheed Martin과 직접적인 경쟁 관계가 없다.""}",,known_fact,"GE Aerospace 사업 부문, Lockheed Martin의 주요 방산 계약 및 제품군.",GE의 전력 및 헬스케어 사업 부문은 Lockheed Martin과 직접적인 경쟁 관계가 없다.,
AXP,COF,상,동일,A,소비자 금융 서비스,0.95,금융·결제·거래소,"{""claim"": ""American Express와 Capital One은 모두 신용카드 발행, 소비자 대출, 예금 상품 등 광범위한 소비자 금융 상품 및 서비스를 제공하며 경쟁한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업 모두 개인 고객을 대상으로 한 금융 상품 포트폴리오를 보유하고 있으며, 특히 신용카드 시장에서 직접적으로 경쟁한다."", ""counter_signal"": ""AXP는 자체 결제 네트워크와 프리미엄 고객에 더 집중하는 반면, COF는 더 넓은 고객층과 다양한 은행 상품을 제공하는 차이가 있지만, 핵심 경쟁 영역은 중복된다.""}",,known_fact,"두 기업 모두 개인 고객을 대상으로 한 금융 상품 포트폴리오를 보유하고 있으며, 특히 신용카드 시장에서 직접적으로 경쟁한다.","AXP는 자체 결제 네트워크와 프리미엄 고객에 더 집중하는 반면, COF는 더 넓은 고객층과 다양한 은행 상품을 제공하는 차이가 있지만, 핵심 경쟁 영역은 중복된다.",
CRWD,XYZ,상,동일,A,사업 도메인 불명,0.0,클라우드·엔터프라이즈SW,"{""claim"": ""XYZ는 가상의 종목으로 CRWD와의 사업 도메인 경쟁/연결 관계를 분석할 수 없습니다."", ""claim_type"": ""uncertain"", ""basis_hint"": ""XYZ 종목 정보 부재"", ""counter_signal"": """"}",,uncertain,XYZ 종목 정보 부재,,
CDNS,NOW,상,동일,A,상이한 B2B 소프트웨어 솔루션,0.9,클라우드·엔터프라이즈SW,"{""claim"": ""Cadence Design Systems(CDNS)는 반도체 및 전자 설계 자동화(EDA) 소프트웨어 분야의 선두 주자이며, ServiceNow(NOW)는 엔터프라이즈 워크플로우 자동화 및 IT 서비스 관리(ITSM) SaaS 솔루션을 제공한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 보고서, 공식 웹사이트 설명, 산업 분석 자료."", ""counter_signal"": ""두 기업은 고객층, 핵심 기술 스택, 제공하는 솔루션의 목적 및 시장이 명확히 구분되어 직접적인 경쟁 관계나 긴밀한 사업적 연결점이 없다.""}",,known_fact,"각 기업의 사업 보고서, 공식 웹사이트 설명, 산업 분석 자료.","두 기업은 고객층, 핵심 기술 스택, 제공하는 솔루션의 목적 및 시장이 명확히 구분되어 직접적인 경쟁 관계나 긴밀한 사업적 연결점이 없다.",
KKR,STT,상,동일,A,자산운용,0.9,금융·결제·거래소,"{""claim"": ""KKR은 사모펀드를 포함한 대체 자산을 운용하는 반면, STT는 SSGA를 통해 전통 자산을 운용하며 수탁 서비스도 제공하여, 넓은 의미의 자산운용 분야에서 연결된다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업의 사업 내용 및 GICS 산업 분류"", ""counter_signal"": ""STT의 주요 사업 중 하나인 수탁 서비스는 KKR의 핵심 자산운용 사업과는 성격이 다르다.""}",,known_fact,두 기업의 사업 내용 및 GICS 산업 분류,STT의 주요 사업 중 하나인 수탁 서비스는 KKR의 핵심 자산운용 사업과는 성격이 다르다.,
AMGN,BMY,상,동일,A,바이오 제약,0.9,헬스케어·의료기기·제약,"{""claim"": ""Amgen과 Bristol-Myers Squibb는 모두 바이오 의약품의 연구, 개발, 제조 및 판매를 주요 사업으로 하는 대형 제약바이오 기업이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 공식 웹사이트 및 사업 보고서, 주요 제품 포트폴리오"", ""counter_signal"": """"}",,known_fact,"각 기업의 공식 웹사이트 및 사업 보고서, 주요 제품 포트폴리오",,
EMR,ETN,상,동일,A,전력 관리 및 산업 자동화,0.9,자동차·부품·산업재,"{""claim"": ""Emerson은 자동화 솔루션과 산업 제어에 강점을 가지고 있으며, Eaton은 전력 관리 및 전기 시스템 분야의 선두 주자로, 양사는 산업 및 상업용 전력 분배, 제어 장비 및 관련 솔루션 시장에서 경쟁하거나 보완적인 관계에 있습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""양사 사업 보고서 및 제품 포트폴리오 분석"", ""counter_signal"": ""Eaton은 항공우주 및 차량 부문이 큰 반면, Emerson은 상업용 HVAC 및 소프트웨어에 더 중점을 둡니다.""}",,known_fact,양사 사업 보고서 및 제품 포트폴리오 분석,"Eaton은 항공우주 및 차량 부문이 큰 반면, Emerson은 상업용 HVAC 및 소프트웨어에 더 중점을 둡니다.",
PH,ROP,상,동일,A,산업용 공정 제어 및 자동화,0.9,자동차·부품·산업재,"{""claim"": ""Parker-Hannifin은 유체 동력 및 모션 제어 기술의 선두 주자이며, Roper Technologies는 공정 기술 및 측정/분석 솔루션 등을 통해 산업용 제어 및 자동화 시스템에 필요한 부품과 솔루션을 제공한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 사업 부문 및 주요 제품 포트폴리오"", ""counter_signal"": ""Roper Technologies는 소프트웨어 및 네트워크 솔루션 비중이 높아 Parker-Hannifin보다 사업 영역이 훨씬 광범위하다.""}",,known_fact,각 사의 사업 부문 및 주요 제품 포트폴리오,Roper Technologies는 소프트웨어 및 네트워크 솔루션 비중이 높아 Parker-Hannifin보다 사업 영역이 훨씬 광범위하다.,
