symbol_a,symbol_b,mcap_tercile,industry_same,prompt_variant,llm_tag,llm_conf,normalized_bucket,rationale_A,rationale_B,claim_type,basis_hint,counter_signal,verdict,grounded_ratio,grounded_en,grounded_syn,ungrounded_terms,dict_gap_terms,correlation,market_mismatch,overconfident,veto,veto_reason
CRM,MTCH,하,동일,B,구독형 클라우드 소프트웨어 서비스,0.8,클라우드·엔터프라이즈SW,,"{""claim"": ""두 기업 모두 클라우드 기반의 구독형 소프트웨어 서비스를 핵심 사업 모델로 운영합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Salesforce는 SaaS(Software as a Service)의 선두 주자이며, Match Group은 자사 앱들의 유료 구독 및 인앱 구매를 통해 수익을 창출합니다."", ""counter_signal"": ""두 회사의 최종 사용자 시장과 제공하는 핵심 기능(B2B 고객 관계 관리 vs B2C 온라인 데이팅)은 완전히 다릅니다.""}",known_fact,"Salesforce는 SaaS(Software as a Service)의 선두 주자이며, Match Group은 자사 앱들의 유료 구독 및 인앱 구매를 통해 수익을 창출합니다.",두 회사의 최종 사용자 시장과 제공하는 핵심 기능(B2B 고객 관계 관리 vs B2C 온라인 데이팅)은 완전히 다릅니다.,,0.0,0/0,0/4,소프트웨어 | 클라우드 | 운영 | 구독,모델,0.3119,False,True,True,low_grounding
AAPL,AMD,상,상이,A,컴퓨팅 칩 설계 및 공급,0.95,반도체·메모리,"{""claim"": ""Apple은 자사 제품용 M 시리즈 칩을 개발하여 AMD와 같은 외부 CPU/GPU 공급업체에 대한 의존도를 줄였으며, 이는 기능적 경쟁 관계를 형성합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Apple M 시리즈 칩 발표 및 Mac 라인업 전환, AMD의 Mac Pro GPU 공급 이력."", ""counter_signal"": ""AMD는 여전히 특정 Apple 제품(예: Mac Pro)에 GPU를 공급할 수 있으나, Apple의 핵심 제품 자체 칩 전환은 큰 변화입니다.""}",,known_fact,"Apple M 시리즈 칩 발표 및 Mac 라인업 전환, AMD의 Mac Pro GPU 공급 이력.","AMD는 여전히 특정 Apple 제품(예: Mac Pro)에 GPU를 공급할 수 있으나, Apple의 핵심 제품 자체 칩 전환은 큰 변화입니다.",,0.333,1/3,1/3,cpu | gpu | 공급 | 경쟁,자사 | 제품용 | 시리즈 | 칩을 | 외부 | 대한 | 의존도 | 줄였으며 | 이는 | 기능적 | 형성합니다,0.2154,True,True,False,
NXPI,Q,중,동일,A,차량용 및 IoT 반도체,0.9,반도체·메모리,"{""claim"": ""NXP와 Qualcomm은 차량용 인포테인먼트, ADAS, 디지털 콕핏 및 사물인터넷(IoT) 기기를 위한 반도체 및 플랫폼 솔루션 시장에서 직접 경쟁한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 회사 웹사이트의 제품 포트폴리오 및 사업 부문 설명, 산업 분석 보고서"", ""counter_signal"": ""NXP는 전통적으로 임베디드 및 산업용 비중이 크고, Qualcomm은 모바일 AP 및 모뎀 분야에서 독보적 지위를 가지고 있어 전체 사업 포트폴리오 비중에서는 차이가 있다.""}",,known_fact,"각 회사 웹사이트의 제품 포트폴리오 및 사업 부문 설명, 산업 분석 보고서","NXP는 전통적으로 임베디드 및 산업용 비중이 크고, Qualcomm은 모바일 AP 및 모뎀 분야에서 독보적 지위를 가지고 있어 전체 사업 포트폴리오 비중에서는 차이가 있다.",,0.333,1/4,3/8,qualcomm | adas | iot | 플랫폼 | 디지털 | 경쟁 | 인포테인먼트 | 콕핏,기기,0.4629,False,True,False,
NVDA,Q,중,동일,B,반도체,1.0,반도체·메모리,,"{""claim"": ""두 종목 모두 'SEMICONDUCTORS' 산업으로 명시되어 있어, 같은 반도체 산업 도메인에서 경쟁하거나 연결될 것으로 판단된다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""NVDA와 Q 종목 정보에 명시된 산업 분류가 'SEMICONDUCTORS'이다."", ""counter_signal"": """"}",known_fact,NVDA와 Q 종목 정보에 명시된 산업 분류가 'SEMICONDUCTORS'이다.,,,0.333,0/1,1/2,semiconductors | 경쟁,종목 | 명시 | 있어 | 연결될 | 것으 | 판단된다,0.4926,False,True,False,
DVN,EXE,중,동일,A,무관한 사업 영역,1.0,에너지·유전·수처리,"{""claim"": ""DVN은 석유 및 가스 탐사 및 생산 기업이며, EXE는 2015년 인수된 소매 부동산 투자 신탁(REIT)이었던 회사로, 사업 도메인에서 경쟁 또는 연결 관계가 없습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""DVN 및 EXE의 기업 프로필 및 산업 분류 정보"", ""counter_signal"": """"}",,known_fact,DVN 및 EXE의 기업 프로필 및 산업 분류 정보,,,0.375,0/1,3/7,reit | 투자 | 부동산 | 소매 | 경쟁,탐사 | 인수된 | 신탁이었던 | 또는 | 없습니다,0.504,False,True,False,
MAS,TT,하,동일,A,건축 설비 및 마감재,0.9,부동산·REIT,"{""claim"": ""MAS는 주택 개조 및 건설 시장을 위한 배관 제품, 도료 등 건축 마감재를, TT는 난방, 환기 및 공조(HVAC) 시스템을 제공하며, 둘 다 건축 및 주거 환경 관련 제품과 솔루션을 공급한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Masco Corporation (MAS) 및 Trane Technologies (TT) 기업 개요 및 주요 사업 분야."", ""counter_signal"": ""Trane Technologies는 상업용 및 운송용 솔루션 비중이 높은 반면 Masco는 주거용 시장에 더 집중하는 경향이 있다.""}",,known_fact,Masco Corporation (MAS) 및 Trane Technologies (TT) 기업 개요 및 주요 사업 분야.,Trane Technologies는 상업용 및 운송용 솔루션 비중이 높은 반면 Masco는 주거용 시장에 더 집중하는 경향이 있다.,,0.4,0/1,2/4,hvac | 건설 | 주택,개조 | 배관 | 도료 | 건축 | 마감재 | 난방 | 환기 | 공조 | 주거 | 환경,0.4665,False,True,False,
NRG,TLN,하,상이,B,독립 전력 생산,1.0,유틸리티,,"{""claim"": ""두 회사 모두 독립적인 전력 생산(Independent Power Producers)을 주요 사업으로 하고 있습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 종목에 제공된 산업 분류(Independent Power Producers)가 직접적인 근거입니다."", ""counter_signal"": """"}",known_fact,두 종목에 제공된 산업 분류(Independent Power Producers)가 직접적인 근거입니다.,,,0.4,1/3,1/2,independent | producers | 생산,독립적인 | 하고 | 있습니다,,False,True,False,
RMD,SOLV,하,상이,A,비연관 산업,0.1,헬스케어·의료기기·제약,"{""claim"": ""RMD는 수면 및 호흡기 질환 의료기기 및 디지털 헬스 솔루션 기업인 반면, SOLV는 태양광 및 에너지 저장 인프라 EPC(설계·조달·시공) 서비스 기업으로 사업 도메인에서 직접적인 경쟁이나 연결점이 없습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""ResMed (RMD) 및 SolvEnergy (SOLV) 공식 기업 설명 및 사업 보고서"", ""counter_signal"": """"}",,known_fact,ResMed (RMD) 및 SolvEnergy (SOLV) 공식 기업 설명 및 사업 보고서,,,0.417,0/1,5/11,epc | 디지털 | 에너지 | 태양광 | 인프라 | 설계 | 경쟁,헬스 | 기업인 | 반면 | 저장 | 조달 | 시공 | 연결점 | 없습니다,0.548,False,True,False,
GNRC,XYL,하,동일,B,산업용 유틸리티 장비,0.7,자동차·부품·산업재,,"{""claim"": ""두 회사 모두 산업 및 상업용 유틸리티 인프라 운영에 필수적인 기계 및 장비를 공급한다."", ""claim_type"": ""inference"", ""basis_hint"": ""Generac는 전력 생산 및 저장 장비를, Xylem은 물 처리 및 운반 장비를 제공하여 각각 전력 및 수자원 유틸리티 분야에 기여한다."", ""counter_signal"": ""주요 제품군이 전력과 물로 명확히 구분되어 직접적인 사업 영역 경쟁은 미미하다.""}",inference,"Generac는 전력 생산 및 저장 장비를, Xylem은 물 처리 및 운반 장비를 제공하여 각각 전력 및 수자원 유틸리티 분야에 기여한다.",주요 제품군이 전력과 물로 명확히 구분되어 직접적인 사업 영역 경쟁은 미미하다.,,0.429,0/0,3/7,기계 | 유틸리티 | 공급 | 운영,,0.3684,False,False,False,
KKR,STT,상,동일,A,자산운용,0.9,금융·결제·거래소,"{""claim"": ""KKR은 사모펀드를 포함한 대체 자산을 운용하는 반면, STT는 SSGA를 통해 전통 자산을 운용하며 수탁 서비스도 제공하여, 넓은 의미의 자산운용 분야에서 연결된다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업의 사업 내용 및 GICS 산업 분류"", ""counter_signal"": ""STT의 주요 사업 중 하나인 수탁 서비스는 KKR의 핵심 자산운용 사업과는 성격이 다르다.""}",,known_fact,두 기업의 사업 내용 및 GICS 산업 분류,STT의 주요 사업 중 하나인 수탁 서비스는 KKR의 핵심 자산운용 사업과는 성격이 다르다.,,0.5,0/1,1/1,ssga,사모펀드 | 포함한 | 대체 | 운용하 | 반면 | 전통 | 운용 | 수탁 | 서비스도 | 넓은 | 의미 | 연결된다,0.3801,False,True,False,
