symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok
AAPL↔HPQ,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",개인용 컴퓨터,True,,pending,pending,False,True,1.0,True
AAPL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
ABBV↔COO,COMPETES_WITH,"SEC 10-K: With Paragard, we compete with manufacturers of hormonal IUDs including Bayer and AbbVie, Long Actin",호르몬 IUD,True,,pending,pending,False,True,0.9,True
ABNB↔EXPE,COMPETES_WITH,"SEC 10-K: Businesses such as Airbnb, Vrbo and Booking.com have emerged as the leaders, bringing incremental al",온라인 여행 예약,True,,pending,pending,False,True,0.9,True
ABT↔DXCM,COMPETES_WITH,"SEC 10-K: In selling our current CGM systems, we compete directly with the Diabetes Care division of Abbott La",연속혈당측정기 시스템,True,,pending,pending,False,True,1.0,True
ALGN↔IDXX,COMPETES_WITH,SEC 10-K: The Invisalign System competes primarily against traditional wires and brackets and increasingly wit,,False,,pending,pending,False,True,0.0,True
AMAT↔KLAC,COMPETES_WITH,"SEC 10-K: In each of our product markets, we have many competitors, including companies such as Applied Materi",,True,,pending,pending,False,True,1.0,True
AMT↔SBAC,COMPETES_WITH,"SEC 10-K: In the U.S., our primary competitors for our site leasing activities are (1) large independent tower",통신 타워 임대,True,,pending,pending,False,True,1.0,True
AMZN↔COST,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",일반 상품 소매,True,,pending,pending,False,True,1.0,True
AMZN↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True
AMZN↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.8,True
ANET↔AVGO,COMPETES_WITH,"SEC 10-K: For example, Broadcom has acquired VMware, Hewlett Packard Enterprise has acquired Juniper Networks ",,False,COMPETES_WITH,pending,pending,True,True,0.0,True
ANET↔HPE,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비 및 시스템,True,,pending,pending,False,True,0.7,True
ANET↔NVDA,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비,True,,pending,pending,False,True,0.4,True
AOS↔PNR,COMPETES_WITH,"SEC 10-K: Our principal water treatment competitors in the U.S. are Culligan, Kinetico, Pentair, Franklin Elec",수처리,True,,auto_candidate,pending,True,True,1.0,True
APTV↔GRMN,COMPETES_WITH,"SEC 10-K: Garmin believes that its principal competitors for auto OEM products are Alpine Electronics, Aptiv, ",자동차 OEM 제품,True,,auto_candidate,pending,True,True,1.0,True
AVY↔INTC,COMPETES_WITH,"SEC 10-K: Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller reg",,False,COMPETES_WITH,pending,pending,True,True,0.0,True
AVY↔MMM,COMPETES_WITH,"SEC 10-K: For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol G",그래픽·반사 제품,True,,auto_candidate,pending,True,True,1.0,True
AVY↔PPL,COMPETES_WITH,"SEC 10-K: Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corpor",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
AXP↔MA,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,pending,pending,False,True,1.0,True
AXP↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,auto_candidate,pending,True,True,1.0,True
AZO↔GPC,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,True,,auto_candidate,pending,True,True,1.0,True
BAX↔COO,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True
BKNG↔EXPE,COMPETES_WITH,"SEC 10-K: Competitive entrants such as “metasearch” companies, including Kayak.com (owned by Booking Holdings)",메타 검색,True,,pending,pending,False,True,0.8,True
BKNG↔GOOGL,COMPETES_WITH,"SEC 10-K: For example, Google links travel search to its dominant search engine and has integrated travel prod",여행 검색,True,,auto_candidate,pending,True,True,0.9,True
BKR↔CAT,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,False,,pending,pending,False,True,0.0,True
BKR↔HAL,COMPETES_WITH,"SEC 10-K: OFSE competitors include SLB, Halliburton, NOV, Weatherford, and TechnipFMC.",유전 서비스·장비,True,,auto_candidate,pending,True,True,1.0,True
BKR↔SLB,COMPETES_WITH,"SEC 10-K: OFSE competitors include SLB, Halliburton, NOV, Weatherford, and TechnipFMC.",유전 서비스·장비,True,,auto_candidate,pending,True,True,1.0,True
BLK↔MSCI,COMPETES_WITH,"SEC 10-K: Certain of our clients are also significant shareholders, competitors or distributors of our content",,True,,pending,pending,False,True,0.2,True
CAH↔COR,COMPETES_WITH,"SEC 10-K: In the Pharma segment, we compete with wholesale distributors with national reach, including McKesso",제약 도매 유통,True,,pending,pending,False,True,0.5,True
CAH↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",의료 유통,True,,pending,pending,False,True,0.9,True
CARR↔JCI,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,True,True,0.1,True
CAT↔CMI,COMPETES_WITH,"SEC 10-K: Principal global competitors include Cummins Inc., Deutz AG, Rolls-Royce Power Systems AG and Siemen",,True,,auto_candidate,pending,True,True,1.0,True
CAT↔GEV,COMPETES_WITH,"SEC 10-K: Other competitors, such as Volvo Penta AB, FPT Industrial SpA (Iveco Group), INNIO Group, GE Vernova",,True,,auto_candidate,pending,True,True,1.0,True
CAT↔GNRC,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,True,,auto_candidate,pending,True,True,1.0,True
