symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,gate_class_v2,review_status_v2,self_contradiction,is_enumeration,symbol_boundary_ok,normalized_tag,summary_ko,summary_flags
AAPL↔HPQ,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",개인용 컴퓨터,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,개인용 컴퓨터,"회사의 주요 경쟁사로 Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo 등이 언급되었다.",list|target_absent|truncated
AAPL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,,Apple과 Google 등 일부 대형 기술 중심 기업과 대형 소매업체들이 언급되었다.,target_absent|truncated
ABBV↔COO,COMPETES_WITH,"SEC 10-K: With Paragard, we compete with manufacturers of hormonal IUDs including Bayer and AbbVie, Long Actin",호르몬 IUD,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,헬스케어·의료기기·제약,Paragard 제품과 관련하여 Bayer와 AbbVie를 포함한 호르몬 IUD 제조업체들과 경쟁한다고 서술되었다.,list|target_absent|truncated
ABNB↔EXPE,COMPETES_WITH,"SEC 10-K: Businesses such as Airbnb, Vrbo and Booking.com have emerged as the leaders, bringing incremental al",온라인 여행 예약,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,여행·숙박·크루즈,"Airbnb, Vrbo 및 Booking.com과 같은 기업들이 리더로 부상했다고 서술되었다.",target_absent|truncated
ABT↔DXCM,COMPETES_WITH,"SEC 10-K: In selling our current CGM systems, we compete directly with the Diabetes Care division of Abbott La",연속혈당측정기 시스템,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,헬스케어·의료기기·제약,현재 CGM 시스템 판매 시 Abbott Laboratories의 당뇨병 관리 사업부와 직접 경쟁한다고 서술되었다.,target_absent|truncated
ALGN↔IDXX,COMPETES_WITH,SEC 10-K: The Invisalign System competes primarily against traditional wires and brackets and increasingly wit,,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,,"Invisalign 시스템은 주로 전통적인 와이어 및 브래킷과 경쟁하며, 점차 더 많은 경쟁 대상과 경쟁한다고 서술되었다.",target_absent|truncated
AMAT↔KLAC,COMPETES_WITH,"SEC 10-K: In each of our product markets, we have many competitors, including companies such as Applied Materi",,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,,모든 제품 시장에서 Applied Materials와 같은 회사들을 포함한 많은 경쟁사가 있다고 서술되었다.,target_absent|truncated
AMT↔SBAC,COMPETES_WITH,"SEC 10-K: In the U.S., our primary competitors for our site leasing activities are (1) large independent tower",통신 타워 임대,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,통신·네트워크,미국에서 회사의 부지 임대 활동에 대한 주요 경쟁사는 대형 독립 타워 회사라고 서술되었다.,target_absent|truncated
AMZN↔COST,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",일반 상품 소매,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,소매·소비재,"Walmart, Target, Kroger, Amazon이 회사의 주요 일반 상품 소매 경쟁사 중 하나라고 서술되었다.",list|target_absent|truncated
AMZN↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW,"회사의 엔터프라이즈 클라우드, 라이선스 및 하드웨어 제품이 일부 대상의 특정 제품과 직접 경쟁한다고 서술되었다.",target_absent|truncated
